Titre,Lien,Entreprise,Lieu,Type de contrat,Expérience,Secteur,Description
"HC Services-Paie et Administration du personnel",https://www.jobzyn.com/fr/companies/pwc-/jobs/hc-services-paie-et-administration-du-personnel-casablanca,"PwC","Casablanca","CDI","6 - 9 ans","",""
"Ingénieur Travaux",https://www.jobzyn.com/fr/companies/mafoder/jobs/conducteur-de-travaux-casablanca,"Mafoder Group","Casablanca","CDI","6 - 9 ans","",""
"Chef de la Section Consolidation et Reporting",https://www.jobzyn.com/fr/companies/groupe-safari/jobs/chef-de-la-section-consolidation-et-reporting-casablanca,"Groupe Safari","Casablanca","CDI","6 - 9 ans","",""
"Auditeur Interne",https://www.jobzyn.com/fr/companies/groupe-safari/jobs/auditeur-interne-casablanca,"Groupe Safari","Casablanca","CDI","6 - 9 ans","",""
"Chef de projets MOE",https://www.jobzyn.com/fr/companies/bmce-capital/jobs/chef-de-projets-moe-casablanca,"BMCE CAPITAL","Casablanca","CDI","3 - 5 ans","",""
"Assistant(e) de direction",https://www.jobzyn.com/fr/companies/bmce-capital/jobs/assistante-de-direction-casablanca,"BMCE CAPITAL","Casablanca","CDI","0 - 2 ans","",""
"Technico-Commercial (Voirie, béton, mobilier urbain)",https://www.jobzyn.com/fr/companies/mafoder/jobs/technico-commercial-voirie-beton-mobilier-urbain-casablanca,"Mafoder Group","Casablanca","CDI","6 - 9 ans","",""
"Responsable Sponsoring",https://www.jobzyn.com/fr/companies/maroc-telecom/jobs/responsable-sponsoring-rabat,"Maroc Telecom","Rabat","CDI","3 - 5 ans","",""
"TVA Compliance Associate (H/F) - PwC Tax & Legal Services",https://www.jobzyn.com/fr/companies/pwc-/jobs/tva-compliance-associate-hf---pwc-tax-legal-services-casablanca,"PwC","Casablanca","CDI","3 - 5 ans","",""
"Responsable Commercial – Spécialiste des Cuisines H/F - Casablanca",https://www.jobzyn.com/fr/companies/kitea/jobs/responsable-commercial-specialiste-des-cuisines-hf---casablanca-casablanca,"KITEA","Casablanca","CDI","6 - 9 ans","",""
"Chef de produit Senior",https://www.jobzyn.com/fr/companies/sterifil/jobs/chef-de-produit-senior-casablanca-2,"Sterifil","Casablanca","CDI","6 - 9 ans","",""
"Responsable Consolidation et Contrôle Financier",https://www.jobzyn.com/fr/companies/kitea/jobs/responsable-consolidation-et-controle-financier-casablanca-1,"KITEA","Casablanca","CDI","6 - 9 ans","",""
"Data Analyst Senior",https://www.jobzyn.com/fr/companies/dxc-cdg/jobs/data-analyst-senior-1-rabat,"DXC CDG","Rabat","CDI","3 - 5 ans","",""
"Data Engineer Senior",https://www.jobzyn.com/fr/companies/dxc-cdg/jobs/data-engineer-senior-rabat,"DXC CDG","Rabat","CDI","3 - 5 ans","",""
"Data Scientist Senior",https://www.jobzyn.com/fr/companies/dxc-cdg/jobs/data-scientist-senior-rabat,"DXC CDG","Rabat","CDI","3 - 5 ans","",""
"Architecte solutions",https://www.jobzyn.com/fr/companies/dxc-cdg/jobs/architecte-solutions-rabat,"DXC CDG","Rabat, Casablanca","CDI","6 - 9 ans","",""
"IT Sales Engineer – Offshore",https://www.jobzyn.com/fr/companies/dxc-cdg/jobs/it-sales-engineer-offshore-rabat,"DXC CDG","Rabat","CDI","6 - 9 ans","",""
"Développeur.se Java",https://www.jobzyn.com/fr/companies/dxc-cdg/jobs/developpeurse-java-casablanca,"DXC CDG","Casablanca, Rabat","CDI","6 - 9 ans","",""
"Commercial sédentaire",https://www.jobzyn.com/fr/companies/mafoder/jobs/commercial-sedentaire-casablanca,"Mafoder Group","Casablanca, Marrakech","CDI","3 - 5 ans","",""
"2 KAM Clinique Casablanca /Rabat",https://www.jobzyn.com/fr/companies/sterifil/jobs/kam-clinique-rabatfesmeknes-oriental-rabat,"Sterifil","Rabat","CDI","3 - 5 ans","",""
"Responsable équipe commerciale",https://www.jobzyn.com/fr/companies/stairling/jobs/responsable-equipe-commerciale-tangier,"Stairling","Tanger","CDI","0 - 2 ans","",""
"Commercial clients",https://www.jobzyn.com/fr/companies/stairling/jobs/commercial-clients-tangier,"Stairling","Tanger","CDI","0 - 2 ans","",""
"Responsable accompagnement clients",https://www.jobzyn.com/fr/companies/stairling/jobs/responsable-accompagnement-clients-tangier,"Stairling","Tanger","CDI","3 - 5 ans","",""
"Conseiller intégration clients",https://www.jobzyn.com/fr/companies/stairling/jobs/conseiller-integration-clients-tangier,"Stairling","Tanger","CDI","","",""
"Responsable support clients",https://www.jobzyn.com/fr/companies/stairling/jobs/responsable-support-clients-tangier,"Stairling","Tanger","CDI","3 - 5 ans","",""
"Conseiller Support clients",https://www.jobzyn.com/fr/companies/stairling/jobs/conseiller-support-clients-tangier,"Stairling","Tanger","CDI","0 - 2 ans","",""
"Expert support & assistance - Horaires de nuit",https://www.jobzyn.com/fr/companies/stairling/jobs/expert-support-assistance---horaires-de-nuit-tangier,"Stairling","Tanger","CDI","0 - 2 ans","",""
"Backend Engineer (Node.js)",https://www.jobzyn.com/fr/companies/enakl/jobs/backend-engineer-casablanca,"ENAKL","Casablanca","CDI","","",""
"Technical Product Owner",https://www.jobzyn.com/fr/companies/enakl/jobs/technical-product-owner-casablanca,"ENAKL","Casablanca","CDI","","",""
"Sales Manager Senior – Grands Comptes",https://www.jobzyn.com/fr/companies/enakl/jobs/sales-manager-senior-grands-comptes-casablanca,"ENAKL","Casablanca","CDI","6 - 9 ans","",""
"Lead Computer Vision Engineer",https://www.jobzyn.com/fr/companies/haldorix/jobs/lead-computer-vision-engineer-casablanca,"Haldorix","Casablanca","CDI","","",""
"Consultant Technique Senior ServiceNow",https://www.jobzyn.com/fr/companies/dxc-cdg/jobs/consultant-technique-senior-servicenow-casablanca,"DXC CDG","Casablanca","CDI","3 - 5 ans","",""
"Consultant Expérimenté Organisation et Tech Adoption F/H",https://www.jobzyn.com/fr/companies/Deloitte/jobs/consultant-experimente-organisation-et-tech-adoption-fh-casablanca,"Deloitte Extended Services","Casablanca","CDI","3 - 5 ans","",""
"Investment Analyst",https://www.jobzyn.com/fr/companies/jobzyn-confidential/jobs/investment-analyst-casablanca,"Jobzyn Confidential","Casablanca","CDI","","",""
"Communication Lead - Global Affairs (Morocco)",https://www.jobzyn.com/fr/companies/glovo/jobs/communication-lead-theyshehe-casablanca,"Glovo","Casablanca","Autre","3 - 5 ans","",""
"Contrôleur Permanent",https://www.jobzyn.com/fr/companies/kitea/jobs/controleur-permanent-casablanca,"KITEA","Casablanca","CDI","0 - 2 ans","",""
"Responsable Appels d'Offres à l'International",https://www.jobzyn.com/fr/companies/TGCC/jobs/responsable-appels-doffres-a-linternational-casablanca,"TGCC","Casablanca","CDI","10 ans et plus","",""
